academic_confidence,ambiguity_flag,career_priorities,constraints,curriculum_type,dataset_version,expected_prodi,free_text_goal_keywords,interest_deep_dive,interests,prodi_to_avoid,quality_flag,sample_id,score_advanced_math,score_anthropology,score_arts,score_bahasa,score_biology,score_chemistry,score_civics,score_economics,score_english,score_foreign_language,score_geography,score_history,score_indonesian,score_informatics,score_kesehatan,score_math,score_olahraga,score_paling_banyak_1_mata_pelajaran_pendukung_yang_relevan_dengan_program_studi_kependidikannya,score_pattern,score_pendidikan_jasmani,score_physics,score_pjok,score_religion,score_sastra_inggris,score_sociology,sma_track,source_type,target_cluster,target_kelompok_prodi,target_prodi,target_prodi_id,work_style
social/human,False,remote/digital work|helping people,practical/project-heavy,K13 IPA,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00011,82,69,76,,85,78,91,82,81,79,73,84,78,90,,80,,,several strong subjects,,89,76,80,,85,IPS,synthetic_v2,Humaniora,Linguistik,Linguistik,P0023,independent
social/human,False,public service|remote/digital work,balanced,K13 Bahasa,apti_dataset_v2,Kimia Terapan,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,focused_average,S00012,70,73,79,,82,94,75,64,73,67,82,64,85,,,71,,,several strong subjects,,77,66,66,,68,IPA,synthetic_v2,Ilmu Alam,Kimia,Kimia Terapan,P0085,teamwork
language/writing,False,public service|stable career,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,focused_average,S00013,,80,66,,61,92,86,81,79,77,,91,76,74,,70,,,several strong subjects,,71,81,60,,62,IPA,synthetic_v2,Ilmu Sosial,Pertahanan,Keamanan Nasional,P0080,independent
science/lab,False,helping people|research/innovation,practical/project-heavy,K13 IPS,apti_dataset_v2,Perpajakan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00014,71,66,60,,73,87,84,81,72,76,68,80,79,86,,89,,,several strong subjects,,72,76,73,,80,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Akuntansi,Perpajakan,P0198,independent
language/writing,False,stable career|high salary potential,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00015,,79,96,,94,100,86,93,86,70,70,84,79,73,,96,,,several strong subjects,,77,75,80,,89,IPS,synthetic_v2,Ilmu Terapan,"Konservasi Biologi, Konservasi Hewan Liar, Konservasi Hutan, Konservasi Sumber Daya Alam",Konservasi Hutan,P0463,teamwork
creative/art,False,stable career|high salary potential,balanced,K13 IPA,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00016,69,91,85,,73,79,68,70,67,64,,,63,66,,57,,,several strong subjects,,70,62,74,,76,IPA,synthetic_v2,Humaniora,Seni,Seni Rupa,P0001,lab work
language/writing,False,stable career|remote/digital work,practical/project-heavy,K13 IPA,apti_dataset_v2,Analitika Data,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,standard,S00017,85,80,88,,,94,72,80,81,,89,87,95,83,,98,,,several strong subjects,,91,75,85,,80,IPA,synthetic_v2,Ilmu Terapan,Sains Data,Analitika Data,P0473,teamwork
language/writing,False,remote/digital work|research/innovation,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00018,84,,82,,85,76,90,87,76,93,96,79,90,74,,92,,,several strong subjects,,83,73,82,,85,IPA,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Pembangunan Wilayah,P0179,field work
social/human,False,research/innovation|high salary potential,field-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00019,89,80,63,,,72,79,64,84,,66,,77,76,85,83,73,,several strong subjects,81,74,94,76,,73,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Keolahragaan,Olahraga Rekreasi,P0413,field work
creative/art,False,helping people|stable career,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00020,66,72,75,,81,,67,72,64,70,79,79,74,64,,80,,,several strong subjects,,69,68,76,,74,IPA,synthetic_v2,Humaniora,Filsafat,Filsafat,P0054,research-focused
social/human,False,high salary potential|public service,field-heavy,K13 IPS,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,balanced_high,S00021,86,,96,,96,81,100,68,98,,,75,72,87,,90,,,several strong subjects,,,85,77,,,IPS,synthetic_v2,Ilmu Terapan,Sains Data,Big Data Analytics,P0474,teamwork
language/writing,False,public service|helping people,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00022,74,68,81,,75,88,81,78,75,69,78,81,66,82,,79,,,several strong subjects,,80,79,68,,67,Bahasa,synthetic_v2,Ilmu Terapan,Bisnis,Bisnis,P0221,teamwork
social/human,False,helping people|public service,balanced,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00023,72,56,76,,,69,61,77,68,75,53,67,60,69,,81,,,several strong subjects,,69,63,86,,,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Manajemen,Manajemen Bisnis,P0201,independent
science/lab,False,research/innovation|high salary potential,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00024,79,93,73,,64,86,83,77,94,92,91,,87,87,,81,,,several strong subjects,,82,64,71,,,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Komunikasi,Media Digital,P0233,field work
language/writing,False,high salary potential|research/innovation,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00025,89,71,82,,68,79,81,98,91,72,74,,94,67,,80,,,several strong subjects,,81,76,85,,,IPA,synthetic_v2,Humaniora,Linguistik,Bahasa Jepang,P0027,independent
science/lab,True,helping people|research/innovation,field-heavy,K13 Bahasa,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Business|Design|Education|Language|Media,none,standard,S00026,,56,85,,76,98,66,76,62,,80,78,73,77,,63,,,balanced,,81,80,61,,65,Bahasa,synthetic_v2,Humaniora,Seni,Seni Murni,P0002,field work
science/lab,True,remote/digital work|helping people,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Technology,none,standard,S00027,72,,79,,,81,76,76,80,87,72,92,76,64,,86,,,balanced,,,83,90,,75,Merdeka,synthetic_v2,Ilmu Terapan,Peternakan,Sosial Ekonomi Peternakan,P0166,lab work
science/lab,True,helping people|remote/digital work,balanced,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Engineering|Technology,none,standard,S00028,66,,78,,91,,77,67,82,68,74,71,78,62,,72,,,balanced,,76,72,72,,64,IPA,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Kesehatan Masyarakat,P0360,lab work
language/writing,False,remote/digital work|high salary potential,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00029,,82,73,,68,81,61,75,76,78,72,77,75,,,88,,,several strong subjects,,77,76,76,,70,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Manajemen,Manajemen Bisnis,P0201,lab work
creative/art,False,helping people|public service,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S00030,79,64,62,,,83,76,77,57,70,72,72,82,72,,70,,,several strong subjects,,66,71,55,,,Bahasa,synthetic_v2,Ilmu Alam,Kimia,Kimia Industri,P0086,teamwork
science/lab,False,stable career|research/innovation,theory-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00031,76,,68,,68,,84,86,76,,76,73,77,73,,72,,,several strong subjects,,,56,81,,97,IPS,synthetic_v2,Ilmu Terapan,Studi Humanitas,Pengembangan Masyarakat Islam,P0489,research-focused
balanced,False,research/innovation|remote/digital work,lab-heavy,K13 IPA,apti_dataset_v2,Logika dan Filsafat Sains,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S00032,85,88,74,,81,72,95,90,87,72,79,81,100,93,,79,,,several strong subjects,,80,85,67,,76,IPS,synthetic_v2,Ilmu Formal,Logika,Logika dan Filsafat Sains,P0139,research-focused
numbers/calculation,False,research/innovation|high salary potential,field-heavy,K13 IPA,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S00033,86,57,67,,92,,75,74,74,75,78,,70,81,,85,,,several strong subjects,,,81,72,,68,IPA,synthetic_v2,Ilmu Alam,Biologi,Biologi,P0103,lab work
science/lab,True,public service|helping people,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Tourism Planner Hotel Manager,communication_media|engineering|hands_on|technology_digital|tourism_hospitality,Engineering|Media|Social|Technology|Tourism,none,balanced_high,S00034,88,87,85,79,82,92,78,98,96,89,80,95,85,86,,91,,,balanced,,,90,91,86,94,IPS,synthetic_v2,Ilmu Terapan,Pariwisata,Usaha Perjalanan Wisata,P0420,independent
balanced,False,stable career|research/innovation,theory-heavy,K13 IPS,apti_dataset_v2,Teknologi Kopi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00035,83,82,87,,94,67,81,88,86,77,90,80,84,78,,78,,,several strong subjects,,86,64,90,,71,Merdeka,synthetic_v2,Ilmu Terapan,Sains Perkopian,Teknologi Kopi,P0478,field work
creative/art,True,public service|helping people,field-heavy,K13 Bahasa,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Education|Engineering|Social|Technology,none,focused_average,S00036,63,,81,,,83,71,64,63,62,75,72,80,,,85,,,balanced,,78,78,72,,78,Merdeka,synthetic_v2,Ilmu Terapan,"Bioteknologi, Biokewirausahaan, Bioinformatika",Bioteknologi Pangan,P0444,teamwork
language/writing,False,public service|helping people,field-heavy,K13 Bahasa,apti_dataset_v2,Teknik Material,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00037,76,68,62,,48,,78,75,77,81,78,76,82,49,,93,,,several strong subjects,,82,76,76,,,Merdeka,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Teknik Material,P0292,research-focused
balanced,False,public service|remote/digital work,balanced,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00038,,71,60,,68,,63,82,72,82,83,65,100,70,,81,,,several strong subjects,,,76,65,,68,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Manajemen,Manajemen Sumber Daya Manusia,P0204,lab work
social/human,True,helping people|research/innovation,practical/project-heavy,K13 IPS,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Engineering|Social|Technology,none,standard,S00039,,86,81,,77,79,83,72,79,,74,74,70,76,,85,,,balanced,,73,88,77,,71,IPA,synthetic_v2,Ilmu Terapan,Informatika Medis atau Informatika Kesehatan,Manajemen Informasi Kesehatan Digital,P0459,independent
social/human,True,research/innovation|public service,lab-heavy,K13 IPS,apti_dataset_v2,Fisika Medis,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Business|Environment|Health|Social,none,standard,S00040,72,80,82,,80,80,96,83,87,83,78,86,85,80,,75,,,balanced,,75,78,81,,89,Merdeka,synthetic_v2,Ilmu Alam,Fisika,Fisika Medis,P0115,research-focused
creative/art,False,helping people|public service,theory-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S00041,68,76,77,,75,76,80,71,84,80,70,,68,,,73,,,several strong subjects,,69,71,74,,90,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Komunikasi,Public Relations,P0231,field work
language/writing,True,helping people|public service,lab-heavy,K13 IPA,apti_dataset_v2,,Tourism Planner Hotel Manager,communication_media|engineering|hands_on|technology_digital|tourism_hospitality,Education|Engineering|Media|Social|Technology,none,standard,S00042,84,82,78,78,83,73,89,80,87,91,71,84,98,82,,81,,,balanced,,77,81,87,79,89,Bahasa,synthetic_v2,Ilmu Terapan,Pariwisata,Manajemen Bisnis Pariwisata,P0421,field work
balanced,False,helping people|remote/digital work,lab-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00043,87,88,75,,83,89,63,,74,77,,87,82,75,,82,,,several strong subjects,,,92,88,,91,Bahasa,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Perencanaan Wilayah dan Kota,P0176,teamwork
social/human,False,helping people|stable career,field-heavy,K13 IPA,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00044,74,82,62,,,,67,62,93,91,70,86,69,64,,91,,,several strong subjects,,87,57,73,,79,Bahasa,synthetic_v2,Humaniora,Linguistik,Bahasa Daerah,P0033,research-focused
creative/art,True,public service|helping people,balanced,K13 IPA,apti_dataset_v2,Fisika Terapan,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Business|Education|Environment|Health,none,standard,S00045,70,89,84,,79,72,82,71,69,76,81,85,75,68,,77,,,balanced,,74,70,69,,68,Merdeka,synthetic_v2,Ilmu Alam,Fisika,Fisika Terapan,P0114,field work
social/human,True,stable career|public service,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Design|Environment|Health|Social,none,standard,S00046,72,,71,,,73,72,77,82,67,,61,70,73,,78,,,balanced,,,77,70,,72,Bahasa,synthetic_v2,Ilmu Alam,Fisika,Instrumentasi,P0116,field work
creative/art,False,high salary potential|public service,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00047,82,84,83,,88,80,98,85,90,78,90,,99,82,,100,,,several strong subjects,,,92,73,,85,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Manajemen,Manajemen Sumber Daya Manusia,P0204,lab work
social/human,False,stable career|public service,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00048,72,61,68,,,68,81,85,67,67,67,66,71,70,,81,,,several strong subjects,,67,63,66,,,Merdeka,synthetic_v2,Ilmu Terapan,Logistik,Ketatalaksanaan Pelayaran Niaga,P0217,lab work
language/writing,False,research/innovation|stable career,theory-heavy,K13 IPS,apti_dataset_v2,Kimia Terapan,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,focused_average,S00049,79,84,79,,71,77,86,79,64,72,74,61,80,68,,68,,,several strong subjects,,70,75,83,,85,IPA,synthetic_v2,Ilmu Alam,Kimia,Kimia Terapan,P0085,lab work
numbers/calculation,False,public service|research/innovation,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Software Engineer Backend Developer,education_teaching|engineering|hands_on|helping_people|tech_software|technology_digital,Education|Engineering|Technology,none,balanced_high,S00050,95,,86,,87,84,80,77,91,89,74,,85,,,87,,91,several strong subjects,,92,96,76,,,IPA,synthetic_v2,Ilmu Terapan,Pendidikan,Pendidikan Teknik Informatika,P0260,teamwork
numbers/calculation,False,remote/digital work|high salary potential,balanced,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00051,81,95,74,,75,80,86,87,82,83,,78,84,,,84,,,several strong subjects,,92,81,82,,88,Bahasa,synthetic_v2,Ilmu Terapan,Studi Humanitas,Studi Humanitas,P0479,independent
numbers/calculation,False,high salary potential|stable career,lab-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00052,88,72,69,,60,65,61,88,87,,84,76,73,80,,60,,,several strong subjects,,69,62,84,,77,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Akuntansi,Akuntansi,P0191,field work
social/human,False,helping people|research/innovation,field-heavy,Kurikulum Merdeka,apti_dataset_v2,Seni Pertunjukan,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S00053,,88,87,,68,75,79,,78,69,75,85,87,,,67,,,several strong subjects,,76,92,84,,77,IPS,synthetic_v2,Humaniora,Seni,Seni Pertunjukan,P0011,independent
social/human,False,helping people|research/innovation,theory-heavy,K13 IPS,apti_dataset_v2,Strategi Pertahanan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00054,82,81,83,,79,67,86,80,72,80,75,,73,72,,78,,,several strong subjects,,78,72,78,,80,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Militer,Strategi Pertahanan,P0398,lab work
science/lab,False,high salary potential|public service,balanced,Kurikulum Merdeka,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S00055,77,84,87,,83,71,85,90,74,75,67,72,71,75,,75,,,several strong subjects,,,70,86,,85,Merdeka,synthetic_v2,Ilmu Alam,Biologi,Biologi Molekuler,P0106,lab work
language/writing,False,remote/digital work|high salary potential,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00056,,90,77,,80,71,96,79,84,61,71,78,76,79,,78,,,several strong subjects,,73,69,68,,97,Merdeka,synthetic_v2,Ilmu Terapan,Urusan Publik,Studi Pembangunan,P0408,independent
balanced,False,helping people|stable career,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00057,79,83,78,,88,99,90,77,92,79,68,85,86,85,,80,,,several strong subjects,,76,83,83,,82,Merdeka,synthetic_v2,Ilmu Terapan,"Teknologi Pangan, Teknologi Hasil Pertanian/Peternakan/Perikanan",Teknologi Pasca Panen,P0470,teamwork
language/writing,True,helping people|public service,balanced,Kurikulum Merdeka,apti_dataset_v2,Oseanografi,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Design|Education|Environment|Health,none,standard,S00058,79,,85,,81,86,75,,85,88,79,89,73,83,,65,,,balanced,,84,77,73,,70,Merdeka,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kelautan,Oseanografi,P0100,research-focused
language/writing,False,remote/digital work|high salary potential,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S00059,80,79,88,,69,89,100,71,77,80,65,77,68,,,89,,,several strong subjects,,76,68,67,,72,Merdeka,synthetic_v2,Ilmu Formal,Matematika,Statistika Terapan,P0147,teamwork
numbers/calculation,False,stable career|remote/digital work,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00060,78,72,82,,87,79,88,77,88,68,78,93,79,79,,70,,,several strong subjects,,74,83,70,,86,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Militer,Strategi Pertahanan,P0398,field work
science/lab,True,stable career|public service,theory-heavy,K13 IPA,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Education|Language|Media|Social,none,standard,S00061,82,,76,,,71,77,63,83,,72,67,68,74,,61,,,balanced,,,78,74,,72,Bahasa,synthetic_v2,Humaniora,Filsafat,Filsafat Keilahian,P0055,teamwork
language/writing,False,high salary potential|research/innovation,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S00062,80,65,81,,73,78,67,91,74,89,68,62,67,68,,84,,,several strong subjects,,67,70,81,,69,Merdeka,synthetic_v2,Ilmu Sosial,Ekonomi,Ekonomi Keuangan,P0069,lab work
language/writing,False,stable career|remote/digital work,practical/project-heavy,K13 Bahasa,apti_dataset_v2,Psikologi Pendidikan,HR Specialist Counselor Assistant,communication_media|education|education_teaching|helping_people|social_law_public|social_psychology,Education|Media|Psychology,none,standard,S00063,70,,59,,69,70,70,,72,70,68,69,70,,,81,,,several strong subjects,,62,75,73,,66,Merdeka,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi Pendidikan,P0083,teamwork
science/lab,True,remote/digital work|helping people,lab-heavy,K13 IPA,apti_dataset_v2,Keselamatan dan Kesehatan Kerja,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Technology,none,standard,S00064,78,83,89,,86,79,79,,70,73,80,70,77,,,86,,,balanced,,76,68,78,,82,IPS,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Keselamatan dan Kesehatan Kerja,P0362,field work
numbers/calculation,False,public service|high salary potential,field-heavy,K13 Bahasa,apti_dataset_v2,,HR Specialist Counselor Assistant,communication_media|education|education_teaching|helping_people|social_law_public|social_psychology,Education|Media|Psychology,none,standard,S00065,83,63,66,,,77,81,69,67,,67,63,87,62,,77,,,several strong subjects,,65,73,75,,69,IPS,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi Pendidikan,P0083,teamwork
social/human,True,stable career|remote/digital work,practical/project-heavy,K13 Bahasa,apti_dataset_v2,Kedokteran Hewan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Business|Engineering|Social|Technology,none,standard,S00066,60,75,70,,69,89,71,,64,,,,74,80,,77,,,balanced,,59,65,75,,80,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Veteriner,Kedokteran Hewan,P0349,lab work
numbers/calculation,False,stable career|remote/digital work,field-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S00067,,,71,,94,74,68,79,77,75,68,61,79,,,68,,,several strong subjects,,76,81,77,,74,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Lingkungan,Kesehatan Lingkungan,P0338,lab work
numbers/calculation,False,stable career|research/innovation,theory-heavy,K13 IPS,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S00068,84,82,89,,79,79,94,100,85,,80,82,85,87,,83,,,several strong subjects,,82,85,64,,90,IPA,synthetic_v2,Ilmu Sosial,Ekonomi,Perbankan Syariah,P0074,lab work
